instance,method,seed,best,wall,shap_time,fit_time,refreshes
ft06,SPT,0,109,0,0,0,0
ft06,MWKR,0,74,0,0,0,0
ft06,MOR,0,60,0,0,0,0
ft06,AS-std,1,68,0.12,0.000,0.000,0
ft06,MMAS,1,60,0.11,0.000,0.000,0
ft06,Tabu,1,69,0.01,0.000,0.000,0
ft06,SHAP-off,1,69,0.14,0.000,0.000,0
ft06,SG-ACO,1,60,1.04,0.198,0.671,2
ft06,Mag-only,1,105,0.13,0.000,0.000,0
ft06,AS-std,2,69,0.13,0.000,0.000,0
ft06,MMAS,2,66,0.12,0.000,0.000,0
ft06,Tabu,2,62,0.00,0.000,0.000,0
ft06,SHAP-off,2,67,0.14,0.000,0.000,0
ft06,SG-ACO,2,67,0.57,0.092,0.334,1
ft06,Mag-only,2,100,0.13,0.000,0.000,0
ft06,AS-std,3,69,0.13,0.000,0.000,0
ft06,MMAS,3,65,0.12,0.000,0.000,0
ft06,Tabu,3,58,0.00,0.000,0.000,0
ft06,SHAP-off,3,61,0.14,0.000,0.000,0
ft06,SG-ACO,3,61,0.57,0.093,0.331,1
ft06,Mag-only,3,96,0.14,0.000,0.000,0
ft06,AS-std,4,74,0.13,0.000,0.000,0
ft06,MMAS,4,66,0.12,0.000,0.000,0
ft06,Tabu,4,58,0.00,0.000,0.000,0
ft06,SHAP-off,4,70,0.14,0.000,0.000,0
ft06,SG-ACO,4,69,1.55,0.320,1.049,3
ft06,Mag-only,4,103,0.14,0.000,0.000,0
ft06,AS-std,5,63,0.13,0.000,0.000,0
ft06,MMAS,5,66,0.11,0.000,0.000,0
ft06,Tabu,5,65,0.00,0.000,0.000,0
ft06,SHAP-off,5,65,0.14,0.000,0.000,0
ft06,SG-ACO,5,61,1.04,0.210,0.667,2
ft06,Mag-only,5,92,0.13,0.000,0.000,0
ft06,AS-std,6,70,0.13,0.000,0.000,0
ft06,MMAS,6,61,0.11,0.000,0.000,0
ft06,Tabu,6,65,0.00,0.000,0.000,0
ft06,SHAP-off,6,67,0.14,0.000,0.000,0
ft06,SG-ACO,6,67,1.05,0.190,0.676,2
ft06,Mag-only,6,98,0.19,0.000,0.000,0
ft06,AS-std,7,68,0.14,0.000,0.000,0
ft06,MMAS,7,65,0.14,0.000,0.000,0
ft06,Tabu,7,65,0.00,0.000,0.000,0
ft06,SHAP-off,7,68,0.14,0.000,0.000,0
ft06,SG-ACO,7,65,1.03,0.194,0.672,2
ft06,Mag-only,7,95,0.13,0.000,0.000,0
ft06,AS-std,8,64,0.13,0.000,0.000,0
ft06,MMAS,8,64,0.11,0.000,0.000,0
ft06,Tabu,8,62,0.00,0.000,0.000,0
ft06,SHAP-off,8,63,0.14,0.000,0.000,0
ft06,SG-ACO,8,60,1.47,0.296,0.997,3
ft06,Mag-only,8,86,0.13,0.000,0.000,0
ft06,AS-std,9,76,0.12,0.000,0.000,0
ft06,MMAS,9,63,0.11,0.000,0.000,0
ft06,Tabu,9,69,0.00,0.000,0.000,0
ft06,SHAP-off,9,68,0.14,0.000,0.000,0
ft06,SG-ACO,9,67,2.00,0.419,1.378,4
ft06,Mag-only,9,88,0.13,0.000,0.000,0
ft06,AS-std,10,67,0.14,0.000,0.000,0
ft06,MMAS,10,65,0.12,0.000,0.000,0
ft06,Tabu,10,65,0.00,0.000,0.000,0
ft06,SHAP-off,10,66,0.14,0.000,0.000,0
ft06,SG-ACO,10,66,0.59,0.095,0.336,1
ft06,Mag-only,10,93,0.14,0.000,0.000,0
ft06,AS-std,11,70,0.12,0.000,0.000,0
ft06,MMAS,11,65,0.11,0.000,0.000,0
ft06,Tabu,11,65,0.00,0.000,0.000,0
ft06,SHAP-off,11,64,0.14,0.000,0.000,0
ft06,SG-ACO,11,64,0.55,0.090,0.319,1
ft06,Mag-only,11,101,0.13,0.000,0.000,0
ft06,AS-std,12,71,0.12,0.000,0.000,0
ft06,MMAS,12,62,0.11,0.000,0.000,0
ft06,Tabu,12,62,0.00,0.000,0.000,0
ft06,SHAP-off,12,63,0.13,0.000,0.000,0
ft06,SG-ACO,12,63,0.57,0.097,0.318,1
ft06,Mag-only,12,100,0.13,0.000,0.000,0
ft06,AS-std,13,75,0.12,0.000,0.000,0
ft06,MMAS,13,67,0.11,0.000,0.000,0
ft06,Tabu,13,69,0.00,0.000,0.000,0
ft06,SHAP-off,13,66,0.13,0.000,0.000,0
ft06,SG-ACO,13,61,2.34,0.489,1.644,5
ft06,Mag-only,13,96,0.13,0.000,0.000,0
ft06,AS-std,14,67,0.12,0.000,0.000,0
ft06,MMAS,14,65,0.11,0.000,0.000,0
ft06,Tabu,14,69,0.00,0.000,0.000,0
ft06,SHAP-off,14,66,0.14,0.000,0.000,0
ft06,SG-ACO,14,66,0.55,0.088,0.317,1
ft06,Mag-only,14,88,0.12,0.000,0.000,0
ft06,AS-std,15,70,0.12,0.000,0.000,0
ft06,MMAS,15,66,0.11,0.000,0.000,0
ft06,Tabu,15,57,0.00,0.000,0.000,0
ft06,SHAP-off,15,63,0.14,0.000,0.000,0
ft06,SG-ACO,15,63,1.03,0.196,0.667,2
ft06,Mag-only,15,102,0.14,0.000,0.000,0
ft06,AS-std,16,67,0.12,0.000,0.000,0
ft06,MMAS,16,65,0.11,0.000,0.000,0
ft06,Tabu,16,65,0.00,0.000,0.000,0
ft06,SHAP-off,16,66,0.14,0.000,0.000,0
ft06,SG-ACO,16,58,1.46,0.294,0.991,3
ft06,Mag-only,16,86,0.14,0.000,0.000,0
ft06,AS-std,17,71,0.12,0.000,0.000,0
ft06,MMAS,17,63,0.11,0.000,0.000,0
ft06,Tabu,17,58,0.00,0.000,0.000,0
ft06,SHAP-off,17,66,0.14,0.000,0.000,0
ft06,SG-ACO,17,61,1.48,0.291,1.006,3
ft06,Mag-only,17,99,0.13,0.000,0.000,0
ft06,AS-std,18,69,0.12,0.000,0.000,0
ft06,MMAS,18,62,0.11,0.000,0.000,0
ft06,Tabu,18,65,0.00,0.000,0.000,0
ft06,SHAP-off,18,69,0.14,0.000,0.000,0
ft06,SG-ACO,18,61,1.46,0.295,0.984,3
ft06,Mag-only,18,102,0.13,0.000,0.000,0
ft06,AS-std,19,70,0.12,0.000,0.000,0
ft06,MMAS,19,64,0.16,0.000,0.000,0
ft06,Tabu,19,65,0.00,0.000,0.000,0
ft06,SHAP-off,19,68,0.13,0.000,0.000,0
ft06,SG-ACO,19,63,1.01,0.187,0.649,2
ft06,Mag-only,19,91,0.15,0.000,0.000,0
ft06,AS-std,20,71,0.13,0.000,0.000,0
ft06,MMAS,20,65,0.11,0.000,0.000,0
ft06,Tabu,20,69,0.00,0.000,0.000,0
ft06,SHAP-off,20,62,0.14,0.000,0.000,0
ft06,SG-ACO,20,62,0.58,0.096,0.332,1
ft06,Mag-only,20,94,0.14,0.000,0.000,0
ft06,AS-std,21,73,0.13,0.000,0.000,0
ft06,MMAS,21,67,0.11,0.000,0.000,0
ft06,Tabu,21,58,0.00,0.000,0.000,0
ft06,SHAP-off,21,65,0.14,0.000,0.000,0
ft06,SG-ACO,21,63,1.02,0.188,0.670,2
ft06,Mag-only,21,96,0.18,0.000,0.000,0
ft06,AS-std,22,67,0.13,0.000,0.000,0
ft06,MMAS,22,65,0.11,0.000,0.000,0
ft06,Tabu,22,65,0.00,0.000,0.000,0
ft06,SHAP-off,22,67,0.14,0.000,0.000,0
ft06,SG-ACO,22,64,1.01,0.189,0.652,2
ft06,Mag-only,22,99,0.13,0.000,0.000,0
ft06,AS-std,23,74,0.13,0.000,0.000,0
ft06,MMAS,23,65,0.11,0.000,0.000,0
ft06,Tabu,23,69,0.00,0.000,0.000,0
ft06,SHAP-off,23,62,0.13,0.000,0.000,0
ft06,SG-ACO,23,62,0.56,0.090,0.321,1
ft06,Mag-only,23,105,0.13,0.000,0.000,0
ft06,AS-std,24,72,0.12,0.000,0.000,0
ft06,MMAS,24,65,0.11,0.000,0.000,0
ft06,Tabu,24,58,0.00,0.000,0.000,0
ft06,SHAP-off,24,68,0.13,0.000,0.000,0
ft06,SG-ACO,24,60,1.52,0.317,1.020,3
ft06,Mag-only,24,91,0.13,0.000,0.000,0
ft06,AS-std,25,68,0.12,0.000,0.000,0
ft06,MMAS,25,59,0.11,0.000,0.000,0
ft06,Tabu,25,69,0.00,0.000,0.000,0
ft06,SHAP-off,25,65,0.14,0.000,0.000,0
ft06,SG-ACO,25,64,1.01,0.193,0.652,2
ft06,Mag-only,25,100,0.13,0.000,0.000,0
la01,SPT,0,1462,0,0,0,0
la01,MWKR,0,880,0,0,0,0
la01,MOR,0,858,0,0,0,0
la01,AS-std,1,818,0.19,0.000,0.000,0
la01,MMAS,1,818,0.16,0.000,0.000,0
la01,Tabu,1,755,0.00,0.000,0.000,0
la01,SHAP-off,1,771,0.23,0.000,0.000,0
la01,SG-ACO,1,768,1.36,0.249,0.865,2
la01,AS-std,2,863,0.19,0.000,0.000,0
la01,MMAS,2,885,0.17,0.000,0.000,0
la01,Tabu,2,775,0.00,0.000,0.000,0
la01,SHAP-off,2,804,0.23,0.000,0.000,0
la01,SG-ACO,2,789,1.40,0.266,0.891,2
la01,AS-std,3,910,0.19,0.000,0.000,0
la01,MMAS,3,898,0.17,0.000,0.000,0
la01,Tabu,3,785,0.00,0.000,0.000,0
la01,SHAP-off,3,794,0.22,0.000,0.000,0
la01,SG-ACO,3,780,1.39,0.254,0.884,2
la01,AS-std,4,857,0.19,0.000,0.000,0
la01,MMAS,4,907,0.18,0.000,0.000,0
la01,Tabu,4,775,0.00,0.000,0.000,0
la01,SHAP-off,4,794,0.22,0.000,0.000,0
la01,SG-ACO,4,766,1.36,0.248,0.863,2
la01,AS-std,5,904,0.19,0.000,0.000,0
la01,MMAS,5,876,0.16,0.000,0.000,0
la01,Tabu,5,775,0.00,0.000,0.000,0
la01,SHAP-off,5,812,0.24,0.000,0.000,0
la01,SG-ACO,5,763,4.78,1.109,3.316,7
la01,AS-std,6,867,0.19,0.000,0.000,0
la01,MMAS,6,866,0.16,0.000,0.000,0
la01,Tabu,6,775,0.00,0.000,0.000,0
la01,SHAP-off,6,802,0.22,0.000,0.000,0
la01,SG-ACO,6,787,1.37,0.262,0.869,2
la01,AS-std,7,927,0.19,0.000,0.000,0
la01,MMAS,7,831,0.16,0.000,0.000,0
la01,Tabu,7,795,0.00,0.000,0.000,0
la01,SHAP-off,7,799,0.22,0.000,0.000,0
la01,SG-ACO,7,806,2.03,0.414,1.344,3
la01,AS-std,8,900,0.18,0.000,0.000,0
la01,MMAS,8,876,0.16,0.000,0.000,0
la01,Tabu,8,775,0.00,0.000,0.000,0
la01,SHAP-off,8,744,0.22,0.000,0.000,0
la01,SG-ACO,8,764,0.78,0.127,0.422,1
la01,AS-std,9,886,0.18,0.000,0.000,0
la01,MMAS,9,891,0.16,0.000,0.000,0
la01,Tabu,9,795,0.00,0.000,0.000,0
la01,SHAP-off,9,758,0.22,0.000,0.000,0
la01,SG-ACO,9,758,0.76,0.120,0.411,1
la01,AS-std,10,890,0.18,0.000,0.000,0
la01,MMAS,10,875,0.17,0.000,0.000,0
la01,Tabu,10,795,0.00,0.000,0.000,0
la01,SHAP-off,10,789,0.22,0.000,0.000,0
la01,SG-ACO,10,803,1.43,0.275,0.910,2
la01,AS-std,11,914,0.19,0.000,0.000,0
la01,MMAS,11,896,0.16,0.000,0.000,0
la01,Tabu,11,775,0.00,0.000,0.000,0
la01,SHAP-off,11,814,0.23,0.000,0.000,0
la01,SG-ACO,11,799,2.59,0.536,1.771,4
la01,AS-std,12,906,0.19,0.000,0.000,0
la01,MMAS,12,877,0.17,0.000,0.000,0
la01,Tabu,12,795,0.00,0.000,0.000,0
la01,SHAP-off,12,770,0.22,0.000,0.000,0
la01,SG-ACO,12,776,1.35,0.250,0.849,2
la01,AS-std,13,932,0.19,0.000,0.000,0
la01,MMAS,13,866,0.17,0.000,0.000,0
la01,Tabu,13,795,0.00,0.000,0.000,0
la01,SHAP-off,13,772,0.22,0.000,0.000,0
la01,SG-ACO,13,772,0.78,0.125,0.427,1
la01,AS-std,14,950,0.19,0.000,0.000,0
la01,MMAS,14,856,0.16,0.000,0.000,0
la01,Tabu,14,775,0.00,0.000,0.000,0
la01,SHAP-off,14,806,0.23,0.000,0.000,0
la01,SG-ACO,14,755,2.72,0.568,1.850,4
la01,AS-std,15,887,0.20,0.000,0.000,0
la01,MMAS,15,858,0.18,0.000,0.000,0
la01,Tabu,15,755,0.00,0.000,0.000,0
la01,SHAP-off,15,797,0.22,0.000,0.000,0
la01,SG-ACO,15,809,1.55,0.306,0.975,2
la01,AS-std,16,865,0.21,0.000,0.000,0
la01,MMAS,16,869,0.18,0.000,0.000,0
la01,Tabu,16,775,0.00,0.000,0.000,0
la01,SHAP-off,16,758,0.23,0.000,0.000,0
la01,SG-ACO,16,758,0.81,0.123,0.440,1
la01,AS-std,17,895,0.19,0.000,0.000,0
la01,MMAS,17,861,0.16,0.000,0.000,0
la01,Tabu,17,745,0.00,0.000,0.000,0
la01,SHAP-off,17,783,0.22,0.000,0.000,0
la01,SG-ACO,17,812,1.37,0.249,0.871,2
la01,AS-std,18,878,0.18,0.000,0.000,0
la01,MMAS,18,832,0.18,0.000,0.000,0
la01,Tabu,18,778,0.00,0.000,0.000,0
la01,SHAP-off,18,779,0.22,0.000,0.000,0
la01,SG-ACO,18,834,1.40,0.288,0.869,2
la01,AS-std,19,910,0.19,0.000,0.000,0
la01,MMAS,19,827,0.16,0.000,0.000,0
la01,Tabu,19,795,0.00,0.000,0.000,0
la01,SHAP-off,19,770,0.22,0.000,0.000,0
la01,SG-ACO,19,801,1.34,0.249,0.847,2
la01,AS-std,20,895,0.19,0.000,0.000,0
la01,MMAS,20,869,0.16,0.000,0.000,0
la01,Tabu,20,775,0.00,0.000,0.000,0
la01,SHAP-off,20,755,0.21,0.000,0.000,0
la01,SG-ACO,20,805,1.99,0.411,1.319,3
la01,AS-std,21,888,0.18,0.000,0.000,0
la01,MMAS,21,864,0.16,0.000,0.000,0
la01,Tabu,21,775,0.00,0.000,0.000,0
la01,SHAP-off,21,798,0.22,0.000,0.000,0
la01,SG-ACO,21,813,2.02,0.412,1.341,3
la01,AS-std,22,797,0.19,0.000,0.000,0
la01,MMAS,22,835,0.17,0.000,0.000,0
la01,Tabu,22,775,0.00,0.000,0.000,0
la01,SHAP-off,22,795,0.22,0.000,0.000,0
la01,SG-ACO,22,795,0.79,0.122,0.430,1
la01,AS-std,23,929,0.20,0.000,0.000,0
la01,MMAS,23,900,0.18,0.000,0.000,0
la01,Tabu,23,775,0.00,0.000,0.000,0
la01,SHAP-off,23,805,0.22,0.000,0.000,0
la01,SG-ACO,23,776,1.38,0.249,0.880,2
la01,AS-std,24,920,0.19,0.000,0.000,0
la01,MMAS,24,881,0.16,0.000,0.000,0
la01,Tabu,24,775,0.00,0.000,0.000,0
la01,SHAP-off,24,814,0.21,0.000,0.000,0
la01,SG-ACO,24,786,2.05,0.435,1.357,3
la01,AS-std,25,929,0.18,0.000,0.000,0
la01,MMAS,25,876,0.16,0.000,0.000,0
la01,Tabu,25,795,0.00,0.000,0.000,0
la01,SHAP-off,25,795,0.21,0.000,0.000,0
la01,SG-ACO,25,784,1.35,0.247,0.853,2
la02,SPT,0,1943,0,0,0,0
la02,MWKR,0,982,0,0,0,0
la02,MOR,0,904,0,0,0,0
la02,AS-std,1,871,0.18,0.000,0.000,0
la02,MMAS,1,863,0.16,0.000,0.000,0
la02,Tabu,1,910,0.00,0.000,0.000,0
la02,SHAP-off,1,810,0.21,0.000,0.000,0
la02,SG-ACO,1,810,0.76,0.121,0.419,1
la02,Mag-only,1,988,0.20,0.000,0.000,0
la02,AS-std,2,882,0.18,0.000,0.000,0
la02,MMAS,2,870,0.18,0.000,0.000,0
la02,Tabu,2,910,0.00,0.000,0.000,0
la02,SHAP-off,2,877,0.21,0.000,0.000,0
la02,SG-ACO,2,848,1.35,0.249,0.860,2
la02,Mag-only,2,946,0.21,0.000,0.000,0
la02,AS-std,3,875,0.19,0.000,0.000,0
la02,MMAS,3,832,0.16,0.000,0.000,0
la02,Tabu,3,910,0.00,0.000,0.000,0
la02,SHAP-off,3,782,0.21,0.000,0.000,0
la02,SG-ACO,3,782,0.79,0.123,0.429,1
la02,Mag-only,3,915,0.21,0.000,0.000,0
la02,AS-std,4,885,0.19,0.000,0.000,0
la02,MMAS,4,841,0.17,0.000,0.000,0
la02,Tabu,4,910,0.00,0.000,0.000,0
la02,SHAP-off,4,875,0.22,0.000,0.000,0
la02,SG-ACO,4,868,1.39,0.256,0.887,2
la02,Mag-only,4,921,0.21,0.000,0.000,0
la02,AS-std,5,929,0.19,0.000,0.000,0
la02,MMAS,5,827,0.17,0.000,0.000,0
la02,Tabu,5,910,0.00,0.000,0.000,0
la02,SHAP-off,5,829,0.22,0.000,0.000,0
la02,SG-ACO,5,856,1.53,0.298,0.974,2
la02,Mag-only,5,923,0.22,0.000,0.000,0
la02,AS-std,6,894,0.19,0.000,0.000,0
la02,MMAS,6,888,0.17,0.000,0.000,0
la02,Tabu,6,910,0.00,0.000,0.000,0
la02,SHAP-off,6,895,0.21,0.000,0.000,0
la02,SG-ACO,6,893,2.22,0.480,1.469,3
la02,Mag-only,6,945,0.20,0.000,0.000,0
la02,AS-std,7,862,0.19,0.000,0.000,0
la02,MMAS,7,824,0.17,0.000,0.000,0
la02,Tabu,7,863,0.00,0.000,0.000,0
la02,SHAP-off,7,871,0.21,0.000,0.000,0
la02,SG-ACO,7,871,0.76,0.120,0.418,1
la02,Mag-only,7,979,0.20,0.000,0.000,0
la02,AS-std,8,880,0.18,0.000,0.000,0
la02,MMAS,8,887,0.16,0.000,0.000,0
la02,Tabu,8,910,0.00,0.000,0.000,0
la02,SHAP-off,8,867,0.21,0.000,0.000,0
la02,SG-ACO,8,829,1.47,0.279,0.949,2
la02,Mag-only,8,915,0.20,0.000,0.000,0
la02,AS-std,9,832,0.18,0.000,0.000,0
la02,MMAS,9,835,0.16,0.000,0.000,0
la02,Tabu,9,910,0.00,0.000,0.000,0
la02,SHAP-off,9,852,0.21,0.000,0.000,0
la02,SG-ACO,9,834,3.94,0.867,2.755,6
la02,Mag-only,9,963,0.20,0.000,0.000,0
la02,AS-std,10,851,0.19,0.000,0.000,0
la02,MMAS,10,851,0.16,0.000,0.000,0
la02,Tabu,10,891,0.00,0.000,0.000,0
la02,SHAP-off,10,883,0.21,0.000,0.000,0
la02,SG-ACO,10,883,1.39,0.258,0.891,2
la02,Mag-only,10,943,0.20,0.000,0.000,0
la02,AS-std,11,891,0.18,0.000,0.000,0
la02,MMAS,11,864,0.16,0.000,0.000,0
la02,Tabu,11,910,0.00,0.000,0.000,0
la02,SHAP-off,11,848,0.21,0.000,0.000,0
la02,SG-ACO,11,848,1.36,0.247,0.872,2
la02,Mag-only,11,954,0.20,0.000,0.000,0
la02,AS-std,12,864,0.18,0.000,0.000,0
la02,MMAS,12,852,0.16,0.000,0.000,0
la02,Tabu,12,891,0.00,0.000,0.000,0
la02,SHAP-off,12,879,0.21,0.000,0.000,0
la02,SG-ACO,12,855,1.43,0.281,0.909,2
la02,Mag-only,12,901,0.20,0.000,0.000,0
la02,AS-std,13,866,0.19,0.000,0.000,0
la02,MMAS,13,841,0.16,0.000,0.000,0
la02,Tabu,13,910,0.00,0.000,0.000,0
la02,SHAP-off,13,842,0.21,0.000,0.000,0
la02,SG-ACO,13,868,1.39,0.256,0.884,2
la02,Mag-only,13,947,0.21,0.000,0.000,0
la02,AS-std,14,874,0.19,0.000,0.000,0
la02,MMAS,14,874,0.17,0.000,0.000,0
la02,Tabu,14,910,0.00,0.000,0.000,0
la02,SHAP-off,14,832,0.23,0.000,0.000,0
la02,SG-ACO,14,840,2.04,0.407,1.360,3
la02,Mag-only,14,976,0.21,0.000,0.000,0
la02,AS-std,15,900,0.19,0.000,0.000,0
la02,MMAS,15,837,0.17,0.000,0.000,0
la02,Tabu,15,910,0.00,0.000,0.000,0
la02,SHAP-off,15,833,0.21,0.000,0.000,0
la02,SG-ACO,15,860,2.81,0.605,1.872,4
la02,Mag-only,15,970,0.21,0.000,0.000,0
la02,AS-std,16,885,0.19,0.000,0.000,0
