instance,size,BKS,SPT,MWKR,MOR,AS-std_mean,AS-std_std,AS-std_min,AS-std_gap,MMAS_mean,MMAS_std,MMAS_min,MMAS_gap,ACS_mean,ACS_std,ACS_min,ACS_gap,Tabu_mean,Tabu_std,Tabu_min,Tabu_gap,SHAP-off_mean,SHAP-off_std,SHAP-off_min,SHAP-off_gap,SG-ACO_mean,SG-ACO_std,SG-ACO_min,SG-ACO_gap
ft06,6x6,55,109,74,60,69.72,3.1822423959633666,63,26.763636363636362,64.24,2.06720423116182,59,16.79999999999999,67.44,3.477067730142742,61,22.618181818181814,64.04,4.207929023482533,57,16.436363636363648,65.76,2.4372115213907883,61,19.563636363636373,63.12,2.7586228448267445,58,14.76363636363636
la01,10x5,666,1462,880,858,892.68,35.03060566609337,797,34.03603603603603,867.6,23.96872962841377,818,30.270270270270277,834.0,43.28683402606386,770,25.225225225225227,778.32,13.43726162579266,745,16.864864864864874,787.12,19.969393247333947,744,18.186186186186188,786.36,20.888354012064553,755,18.072072072072075
la02,10x5,655,1943,982,904,870.4,27.929971953679676,801,32.8854961832061,848.76,25.564102435511664,801,29.581679389312978,865.08,55.841233271958934,790,32.073282442748095,906.6,10.492060490358096,863,38.41221374045802,854.28,29.868489527705727,782,30.424427480916027,847.48,27.419761730061282,782,29.38625954198473
la03,10x5,597,1066,797,775,797.96,27.037751385793904,739,33.661641541038534,774.24,27.722253395662722,710,29.688442211055275,740.44,38.70732058237391,677,24.02680067001676,751.88,18.711226576576962,725,25.943048576214405,751.72,20.048940121612414,706,25.91624790619766,754.16,21.312515884647063,712,26.324958123953092
la04,10x5,590,1525,1000,854,872.44,30.175983828203513,780,47.87118644067798,827.8,35.0986704401558,735,40.305084745762706,815.04,44.06480076735474,729,38.142372881355925,798.92,16.401016228677214,780,35.410169491525416,765.52,30.985372893243245,708,29.749152542372883,766.12,28.81596779565108,708,29.85084745762712
la05,10x5,593,1434,666,629,743.28,32.306500893782975,646,25.342327150084312,718.92,30.159188760088803,646,21.234401349072506,746.72,45.29580554532616,663,25.92242833052277,665.0,0.0,665,12.141652613827993,665.76,18.43746186436734,611,12.26981450252951,665.12,17.760724459698523,629,12.161888701517707
ft10,10x10,930,2648,1289,1319,1471.2,52.664029469838326,1361,58.19354838709678,1458.16,52.46719610067482,1346,56.79139784946237,1432.12,85.60632764774654,1294,53.99139784946235,1222.76,11.558835004734112,1197,31.47956989247312,1457.2,32.57683225852385,1387,56.68817204301076,1471.36,37.86585973318622,1400,58.210752688172036
abz5,10x10,1234,4668,1451,1555,1733.0,49.54879749634025,1636,40.43760129659643,1706.96,51.97072894107477,1598,38.32739059967585,1958.72,156.37921856819725,1729,58.729335494327394,1446.92,11.27652428720836,1417,17.25445705024312,2027.32,62.66426413834284,1920,64.28849270664506,1942.76,58.453172140896974,1833,57.43598055105348
orb01,10x10,1059,2522,1716,1524,1612.12,40.66870213485222,1537,52.23040604343719,1598.48,45.629047765650334,1457,50.9423984891407,1559.2,57.44199973306408,1477,47.233238904627015,1591.48,12.183048332279842,1551,50.28139754485363,1686.2,37.808729150819126,1609,59.22568460812087,1670.6,48.65096778756479,1582,57.752596789423976
ta01,15x15,1231,6493,1865,1596,2366.68,61.40624289652207,2236,92.25670186839966,2393.16,63.867493035711576,2276,94.40779853777416,3018.6,168.06645511027278,2657,145.21527213647443,1775.0,0.0,1775,44.191714053614945,2340.84,82.91395137932658,2078,90.15759545085298,2358.2,95.46814477440455,2078,91.56783103168155
