instance,refreshes,fit_s,treeshap_s,run_wall_s
ft06,2,0.671,0.198,1.04
ft06,1,0.334,0.092,0.57
ft06,1,0.331,0.093,0.57
ft06,3,1.049,0.320,1.55
ft06,2,0.667,0.210,1.04
ft06,2,0.676,0.190,1.05
ft06,2,0.672,0.194,1.03
ft06,3,0.997,0.296,1.47
ft06,4,1.378,0.419,2.00
ft06,1,0.336,0.095,0.59
ft06,1,0.319,0.090,0.55
ft06,1,0.318,0.097,0.57
ft06,5,1.644,0.489,2.34
ft06,1,0.317,0.088,0.55
ft06,2,0.667,0.196,1.03
ft06,3,0.991,0.294,1.46
ft06,3,1.006,0.291,1.48
ft06,3,0.984,0.295,1.46
ft06,2,0.649,0.187,1.01
ft06,1,0.332,0.096,0.58
ft06,2,0.670,0.188,1.02
ft06,2,0.652,0.189,1.01
ft06,1,0.321,0.090,0.56
ft06,3,1.020,0.317,1.52
ft06,2,0.652,0.193,1.01
la01,2,0.865,0.249,1.36
la01,2,0.891,0.266,1.40
la01,2,0.884,0.254,1.39
la01,2,0.863,0.248,1.36
la01,7,3.316,1.109,4.78
la01,2,0.869,0.262,1.37
la01,3,1.344,0.414,2.03
la01,1,0.422,0.127,0.78
la01,1,0.411,0.120,0.76
la01,2,0.910,0.275,1.43
la01,4,1.771,0.536,2.59
la01,2,0.849,0.250,1.35
la01,1,0.427,0.125,0.78
la01,4,1.850,0.568,2.72
la01,2,0.975,0.306,1.55
la01,1,0.440,0.123,0.81
la01,2,0.871,0.249,1.37
la01,2,0.869,0.288,1.40
la01,2,0.847,0.249,1.34
la01,3,1.319,0.411,1.99
la01,3,1.341,0.412,2.02
la01,1,0.430,0.122,0.79
la01,2,0.880,0.249,1.38
la01,3,1.357,0.435,2.05
la01,2,0.853,0.247,1.35
la02,1,0.419,0.121,0.76
la02,2,0.860,0.249,1.35
la02,1,0.429,0.123,0.79
la02,2,0.887,0.256,1.39
la02,2,0.974,0.298,1.53
la02,3,1.469,0.480,2.22
la02,1,0.418,0.120,0.76
la02,2,0.949,0.279,1.47
la02,6,2.755,0.867,3.94
la02,2,0.891,0.258,1.39
la02,2,0.872,0.247,1.36
la02,2,0.909,0.281,1.43
la02,2,0.884,0.256,1.39
la02,3,1.360,0.407,2.04
la02,4,1.872,0.605,2.81
la02,2,0.860,0.255,1.36
la02,1,0.448,0.125,0.81
la02,2,0.878,0.265,1.38
la02,2,0.884,0.251,1.39
la02,2,0.889,0.260,1.39
la02,2,0.925,0.283,1.45
la02,2,0.872,0.273,1.39
la02,1,0.449,0.129,0.81
la02,1,0.429,0.125,0.78
la02,2,0.913,0.277,1.43
la03,1,0.428,0.126,0.81
la03,2,0.906,0.261,1.41
la03,7,3.506,1.375,5.25
la03,3,1.317,0.395,1.99
la03,1,0.430,0.128,0.79
la03,6,2.816,1.006,4.15
la03,2,0.879,0.263,1.39
la03,1,0.440,0.124,0.79
la03,1,0.423,0.122,0.77
la03,2,0.871,0.251,1.37
la03,1,0.423,0.122,0.78
la03,5,2.679,0.976,3.99
la03,2,0.884,0.263,1.39
la03,2,0.927,0.272,1.44
la03,3,1.325,0.385,1.97
la03,2,0.918,0.258,1.43
la03,2,0.931,0.280,1.47
la03,1,0.432,0.127,0.79
la03,3,1.324,0.387,1.98
la03,2,0.891,0.263,1.41
la03,2,0.921,0.278,1.45
la03,2,0.911,0.259,1.42
la03,1,0.425,0.127,0.78
la03,1,0.417,0.125,0.77
la03,3,1.407,0.442,2.12
la04,3,1.365,0.409,2.05
la04,5,2.393,0.839,3.55
la04,1,0.431,0.126,0.79
la04,5,2.504,0.806,3.63
la04,3,1.359,0.413,2.05
la04,5,2.286,0.712,3.30
la04,2,0.903,0.268,1.42
la04,3,1.328,0.407,1.99
