instance,refreshes,fit_total_s,treeshap_total_s,run_wall_s,treeshap_per_refresh_ms,fit_per_refresh_s
ft06,2.12,0.70612,0.20828,1.0824,98.24528301886792,0.3330754716981132
la01,2.32,1.03416,0.31576,1.6059999999999999,136.10344827586206,0.4457586206896552
la02,2.08,0.9398000000000001,0.2836,1.4728,136.34615384615384,0.4518269230769231
la03,2.32,1.07324,0.3446,1.6764,148.5344827586207,0.4626034482758621
la04,2.84,1.3144399999999998,0.41363999999999995,1.9952,145.64788732394365,0.46283098591549293
la05,2.28,1.02844,0.32384,1.6128,142.03508771929828,0.45107017543859657
ft10,1.6,1.17836,0.42772,2.0307999999999997,267.325,0.736475
abz5,2.08,1.46992,0.5406,2.4356,259.90384615384613,0.7066923076923076
orb01,1.72,1.2819200000000002,0.45396000000000003,2.1492,263.93023255813955,0.7453023255813954
ta01,1.68,1.56644,0.57156,3.17,340.2142857142857,0.932404761904762
