instance,A,B,mean_A,mean_B,W,p,r_rb,p_holm
ft06,SG-ACO,AS-std,63.12,69.72,0.0,1.2025270456350779e-05,1.0,7.215162273810468e-05
ft06,SG-ACO,MMAS,63.12,64.24,85.5,0.1080666143940171,0.3804347826086957,0.2161332287880342
ft06,SG-ACO,ACS,63.12,67.44,11.5,0.0007607261103728581,0.8789473684210526,0.002515757682618421
ft06,SG-ACO,Tabu,63.12,64.04,115.0,0.3162464652044422,0.23333333333333334,0.3162464652044422
ft06,SG-ACO,SHAP-off,63.12,65.76,0.0,0.0006289394206546052,1.0,0.002515757682618421
ft06,SHAP-off,AS-std,65.76,69.72,10.0,0.0001497395367063953,0.9209486166007905,0.0007486976835319766
la01,SG-ACO,AS-std,786.36,892.68,0.0,1.2279185361336645e-05,1.0,7.354161612971957e-05
la01,SG-ACO,MMAS,786.36,867.6,1.0,1.387313159551572e-05,0.9938461538461538,7.354161612971957e-05
la01,SG-ACO,ACS,786.36,834.0,22.0,0.00015613346943129335,0.8646153846153846,0.00046840040829388004
la01,SG-ACO,Tabu,786.36,778.32,117.0,0.22060167661154695,-0.28,0.4412033532230939
la01,SG-ACO,SHAP-off,786.36,787.12,110.5,0.8618976150524849,0.04329004329004329,0.8618976150524849
la01,SHAP-off,AS-std,787.12,892.68,0.0,1.2256936021619928e-05,1.0,7.354161612971957e-05
la02,SG-ACO,AS-std,847.48,870.4,51.0,0.0026915156525745445,0.6861538461538461,0.013457578262872723
la02,SG-ACO,MMAS,847.48,848.76,153.5,0.80862900312315,-0.055384615384615386,0.80862900312315
la02,SG-ACO,ACS,847.48,865.08,115.0,0.2011198549753801,0.2923076923076923,0.4460339532453482
la02,SG-ACO,Tabu,847.48,906.6,1.5,1.467027385353046e-05,0.9907692307692307,8.802164312118275e-05
la02,SG-ACO,SHAP-off,847.48,854.28,46.0,0.14867798441511607,0.39869281045751637,0.4460339532453482
la02,SHAP-off,AS-std,854.28,870.4,94.0,0.06529881362243503,0.42153846153846153,0.2611952544897401
la03,SG-ACO,AS-std,754.16,797.96,15.5,7.626202783639936e-05,0.9046153846153846,0.0003813101391819968
la03,SG-ACO,MMAS,754.16,774.24,65.5,0.00904562909796992,0.5969230769230769,0.03618251639187968
la03,SG-ACO,ACS,754.16,740.44,102.0,0.1034434836687451,-0.3723076923076923,0.3103304510062353
la03,SG-ACO,Tabu,754.16,751.88,148.0,0.6963993585018191,-0.08923076923076922,1.0
la03,SG-ACO,SHAP-off,754.16,751.72,63.5,0.5380088432612438,-0.16993464052287582,1.0
la03,SHAP-off,AS-std,751.72,797.96,11.0,4.566639107611508e-05,0.9323076923076923,0.0002739983464566905
la04,SG-ACO,AS-std,766.12,872.44,0.0,1.223471913060967e-05,1.0,7.340831478365803e-05
la04,SG-ACO,MMAS,766.12,827.8,10.0,4.069645335632428e-05,0.9384615384615385,0.00016278581342529712
la04,SG-ACO,ACS,766.12,815.04,24.0,0.00019381505837875567,0.8523076923076923,0.0005768334165343335
la04,SG-ACO,Tabu,766.12,798.92,19.5,0.0001922778055114445,0.87,0.0005768334165343335
la04,SG-ACO,SHAP-off,766.12,765.52,93.0,0.9358390705497907,-0.021052631578947368,0.9358390705497907
la04,SHAP-off,AS-std,765.52,872.44,0.0,1.2268056633232531e-05,1.0,7.340831478365803e-05
la05,SG-ACO,AS-std,665.12,743.28,1.0,1.3885568373058784e-05,0.9938461538461538,7.340831478365803e-05
